team,year,head_coach
PIT,2010,Mike Tomlin
PHI,2010,Andy Reid
LAC,2010,Unknown
BLT,2010,Unknown
DEN,2010,Josh McDaniels
TB,2010,Unknown
CLV,2010,Unknown
WAS,2010,Unknown
JAX,2010,Unknown
DAL,2010,Jason Garrett
NYJ,2010,Unknown
NO,2010,Sean Payton
CHI,2010,Unknown
TEN,2010,Unknown
GB,2010,Mike McCarthy
ARZ,2010,Unknown
NE,2010,Bill Belichick
MIN,2010,Unknown
ATL,2010,Unknown
DET,2010,Jim Schwartz
MIA,2010,Unknown
SEA,2010,Pete Carroll
CAR,2010,Unknown
CIN,2010,Marvin Lewis
IND,2010,Jim Caldwell
BUF,2010,Unknown
SF,2010,Mike Singletary
HST,2010,Unknown
KC,2010,Todd Haley
SL,2010,Unknown
NYG,2010,Tom Coughlin
LV,2010,Unknown
SF,2011,Jim Harbaugh
BLT,2011,Unknown
DEN,2011,John Fox
TB,2011,Unknown
PIT,2011,Mike Tomlin
DAL,2011,Jason Garrett
NYJ,2011,Unknown
IND,2011,Jim Caldwell
CLV,2011,Unknown
HST,2011,Unknown
GB,2011,Mike McCarthy
NE,2011,Bill Belichick
WAS,2011,Unknown
ATL,2011,Unknown
KC,2011,Todd Haley
DET,2011,Jim Schwartz
SL,2011,Unknown
TEN,2011,Unknown
ARZ,2011,Unknown
NO,2011,Sean Payton
MIN,2011,Unknown
CHI,2011,Unknown
CAR,2011,Ron Rivera
BUF,2011,Unknown
LAC,2011,Unknown
NYG,2011,Tom Coughlin
MIA,2011,Unknown
JAX,2011,Unknown
CIN,2011,Marvin Lewis
LV,2011,Unknown
PHI,2011,Andy Reid
SEA,2011,Pete Carroll
SF,2012,Jim Harbaugh
BLT,2012,Unknown
DEN,2012,John Fox
TB,2012,Unknown
PIT,2012,Mike Tomlin
CLV,2012,Unknown
GB,2012,Mike McCarthy
WAS,2012,Unknown
ATL,2012,Unknown
DET,2012,Jim Schwartz
TEN,2012,Unknown
ARZ,2012,Unknown
SEA,2012,Pete Carroll
CHI,2012,Unknown
DAL,2012,Jason Garrett
BUF,2012,Unknown
LAC,2012,Unknown
IND,2012,Chuck Pagano
MIN,2012,Unknown
JAX,2012,Unknown
HST,2012,Unknown
NE,2012,Bill Belichick
LV,2012,Unknown
NYG,2012,Tom Coughlin
PHI,2012,Andy Reid
CAR,2012,Ron Rivera
KC,2012,Romeo Crennel
CIN,2012,Marvin Lewis
NO,2012,Sean Payton
NYJ,2012,Unknown
MIA,2012,Unknown
SL,2012,Unknown
